Progress,Day,👟 Run | Walk - 30 min,⚖️ Weigh Myself,✉️ Clear Email,💊 Take pills,💪 Push Ups,😴 6 hours of sleep?,📱 Clear Texts,🧼 Shower,🙏 Gratitude Journal,💧 Drink a glass of water,🦷 Brush teeth,💰 Pending Transactions - Mint Mobile,👨🏻‍🦲 Minoxidil,🧴 Skincare,"🪒 Trim | Pluck (hair, nails, etc.)",👕 Laundry – wash | fold | put away,🏋🏻‍♂️ Workout - 30 min,📈  jacoblyman.com – 1 ticket | checkbox,🐍 Practice Python – DataCamp App,🧘🏻‍♂️ Meditate,✍️ 1 blog post,📣 Covert marketing,🏷️ Sell | Listero – 1 ticket | checkbox,💅🏻 Katie,🧮 Practice Math – Brilliant App,💾 Skill IQ,🍽️ Dishes,Checkbox,Created time,Date,Status,🏠 Clean | Organize
,"@January 10, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 9, 2024 10:10 PM",,,No
,"@January 9, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 8, 2024 10:01 PM",,,No
,"@January 8, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 7, 2024 10:02 PM",,,No
,"@January 7, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 6, 2024 10:07 PM",,,No
,"@January 6, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 5, 2024 10:00 PM",,,No
,"@January 5, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 4, 2024 10:03 PM",,,No
,"@January 4, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 3, 2024 10:04 PM",,,No
,"@January 3, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 2, 2024 10:02 PM",,,No
,"@January 2, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"January 1, 2024 10:01 PM",,,No
,"@January 1, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 31, 2023 10:07 PM",,,No
,"@December 31, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 30, 2023 10:08 PM",,,No
,"@December 30, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 29, 2023 10:01 PM",,,No
,"@December 29, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 28, 2023 10:07 PM",,,No
,"@December 28, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 27, 2023 10:02 PM",,,No
,"@December 27, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 26, 2023 10:06 PM",,,No
,"@December 26, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 25, 2023 10:05 PM",,,No
,"@December 25, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 24, 2023 10:04 PM",,,No
,"@December 24, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 23, 2023 10:04 PM",,,No
,"@December 23, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 22, 2023 10:06 PM",,,No
,"@December 22, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 21, 2023 10:08 PM",,,No
,"@December 21, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 20, 2023 10:07 PM",,,No
,"@December 20, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 19, 2023 10:06 PM",,,No
,"@December 19, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 18, 2023 10:06 PM",,,No
,"@December 18, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 17, 2023 10:00 PM",,,No
,"@December 17, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 17, 2023 5:13 PM","December 17, 2023",,No
,"@December 17, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 16, 2023 10:05 PM",,,No
,"@December 16, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 15, 2023 10:04 PM",,,No
,"@December 15, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 14, 2023 10:07 PM",,,No
,"@December 14, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 13, 2023 10:06 PM",,,No
,"@December 13, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 12, 2023 10:05 PM",,,No
,"@December 12, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 11, 2023 10:06 PM",,,No
,"@December 11, 2023",No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 10, 2023 10:00 PM",,,No
,"@December 10, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 9, 2023 10:03 PM",,,No
,"@November 19, 2023",No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 19, 2023 10:37 PM",,,No
,"@November 20, 2023",Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"November 20, 2023 2:02 AM","November 20, 2023",,No
,"@November 21, 2023",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 20, 2023 10:08 PM",,,No
,"@November 22, 2023",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"November 21, 2023 10:06 PM",,,No
,"@November 23, 2023",No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 22, 2023 10:01 PM",,,No
,"@November 24, 2023",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 23, 2023 10:00 PM",,,No
,"@November 25, 2023",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 24, 2023 10:00 PM",,,No
,"@November 26, 2023",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 26, 2023 12:12 PM","November 26, 2023",,No
,"@November 27, 2023",No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,"November 26, 2023 10:05 PM",,,No
,"@November 28, 2023",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 27, 2023 10:02 PM",,,No
,"@November 29, 2023",No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 28, 2023 10:04 PM",,,No
,"@November 30, 2023",No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 29, 2023 10:01 PM",,,No
,"@December 1, 2023",No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"November 30, 2023 10:08 PM",,,No
,"@December 2, 2023",No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 1, 2023 10:02 PM",,,No
,"@December 3, 2023",No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 2, 2023 10:06 PM",,,No
,"@December 4, 2023",No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"December 3, 2023 10:07 PM",,,No
,"@December 5, 2023",No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"December 4, 2023 10:03 PM",,,No
,"@December 6, 2023",No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 5, 2023 10:06 PM",,,No
,"@December 7, 2023",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 6, 2023 10:00 PM",,,No
,"@December 8, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 7, 2023 10:04 PM",,,No
,"@December 9, 2023",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"December 8, 2023 10:02 PM",,,No
,"@January 20, 2024",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"January 19, 2024 10:06 PM",,,No
,"@January 21, 2024",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"January 20, 2024 10:08 PM",,,No
,"@January 22, 2024",No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,"January 21, 2024 10:02 PM",,,No
,"@January 31, 2024",Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,"January 30, 2024 10:05 PM",,,No
,"@February 1, 2024",No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,"January 31, 2024 10:07 PM",,,No
,"@February 2, 2024",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"February 1, 2024 10:08 PM",,,No
,"@February 3, 2024",No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,"February 3, 2024 9:42 AM","February 3, 2024",,No
,"@February 4, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 3, 2024 10:09 PM",,,No
,"@February 5, 2024",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"February 5, 2024 8:29 AM","February 5, 2024",,No
,"@February 6, 2024",Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,"February 5, 2024 10:06 PM",,,No
,"@February 7, 2024",No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,"February 6, 2024 10:01 PM",,,No
,"@February 8, 2024",No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,"February 7, 2024 10:08 PM",,,No
,"@February 9, 2024",No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,"February 8, 2024 10:00 PM",,,No
,"@February 10, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 9, 2024 10:09 PM",,,No
,"@February 11, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 10, 2024 10:05 PM",,,No
,"@February 12, 2024",Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,"February 11, 2024 10:01 PM",,,No
,"@February 13, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 12, 2024 10:09 PM",,,No
,"@February 14, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 13, 2024 10:03 PM",,,No
,"@February 15, 2024",Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"February 14, 2024 10:00 PM",,,No
,"@February 16, 2024",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"February 15, 2024 10:05 PM",,,No
,"@February 17, 2024",No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,"February 16, 2024 10:03 PM",,,No
,"@February 18, 2024",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,"February 17, 2024 10:09 PM",,,No
